date_found,title,company,location,work_mode,salary,visa_sponsorship,url,source,status,notes
2026-07-23,AI Engineer – AI Security & Trust (RE3),Barcelona Supercomputing Center (BSC),Barcelona,hybrid/unknown,n/d,unknown,https://www.bsc.es/es/join-us/job-opportunities/33826diribdre3,BSC,found,buscador daily
2026-07-23,Security Engineer (AI-first platform),Aily Labs,"Madrid / Barcelona",hybrid,n/d,unknown,https://ailylabs.jobs.personio.com/job/2647281?language=en,Personio,found,buscador daily
2026-07-23,AI Security & Governance Architect,Multiverse Computing,Zaragoza,unknown,n/d,unknown,https://es.trabajo.org/oferta-3206-ece37b08d099124e5e3b6564080105fb,trabajo.org,found,buscador daily
2026-07-23,Cybersecurity Data Analyst,ING Hubs Spain,Madrid,unknown,n/d,unknown,https://careers.ing.com/es/trabajo/madrid/cybersecurity-data-analyst/3121/36715781184,ING careers,found,buscador daily
2026-07-23,AI Security Governance Architect,Plain Concepts,Spain,remote,n/d,unknown,https://www.remoterocketship.com/company/plain-concepts/jobs/ai-security-governance-architect-spain-remote/,RemoteRocketship,found,buscador daily
2026-07-24,Detection Engineer - AI/ML,Allianz Technology,Barcelona,hybrid,n/d,unknown,https://internal-careers.allianz.com/job/BARCELONA-Detection-Engineer-AIML-B-08005/1401258833/,Allianz careers,found,buscador 2026-07-24
2026-07-24,Senior Security for AI Engineer,Accenture,Madrid,hybrid,n/d,no,https://www.accenture.com/es-es/careers/jobdetails?id=R00315305_es,Accenture careers,found,requires Spain work auth already
2026-07-24,Cloud & AI Security Specialist (Prompt & LLM Security),Allianz Commercial,"Madrid / Barcelona",hybrid,~38-54k estimate,unknown,https://aijobs.net/job/cloud-ai-security-specialist-prompt-llm-security-madrid-m-es-28043-177966/,AIJobs,found,buscador 2026-07-24
2026-07-24,Generative AI Red Team Engineer,(via AIJobs),Madrid,unknown,~54-75k estimate,unknown,https://aijobs.net/job/generative-ai-red-team-engineer-madrid-spain-206904/,AIJobs,found,buscador 2026-07-24
2026-07-24,AI Engineer (Azure GenAI/RAG),Exis-TI,Barcelona,hybrid,n/d,unknown,https://www.jobijoba.es/oferta-empleo/69/95917d1912a9ff5bed77706294fb32da,Jobijoba,found,buscador 2026-07-24
2026-07-27,GenAI Engineer,Indra Group,Madrid,unknown,n/d,unknown,https://careers.indragroup.com/job/Madrid-GenAI-Engineer/1350382055/,Indra careers,found,buscador 2026-07-27; mid fit 2+ years
2026-07-27,Knowledge Graph & AI Engineer,AstraZeneca,Barcelona,hybrid,n/d,unknown,https://careers.astrazeneca.com/job/barcelona/knowledge-graph-and-ai-engineer/7684/97792737344,AstraZeneca careers,found,buscador 2026-07-27; closing ~2026-07-28
2026-07-27,AI Architect (AI for Security),Neurons Lab,"Madrid / Valencia",unknown,n/d,unknown,https://bulldogjob.com/companies/jobs/245497-ai-architect-ai-for-security-madrid-valencia-neurons-lab,Bulldogjob,found,buscador 2026-07-27; stretch offensive+agents
2026-07-27,Senior ML/AI Engineer (LLM agents),Wizeline,Barcelona,unknown,n/d,unknown,https://spainjobs.io/companies/wizeline/senior-mlai-engineer,SpainJobs.io,found,buscador 2026-07-27
2026-07-27,Senior AI Engineer Foundation Models,Santander,Madrid,hybrid,n/d,unknown,https://www.tecnoempleo.com/senior-ai-engineer-santander/inteligencia-artificial-llm/rf-7f441401b2c4e388b44b,Tecnoempleo,found,buscador 2026-07-27; senior stretch 5-10y
